GP,Date,Venue,Opponent,GF,GA,Result,OT Result,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2023-10-12,Away,Minnesota Wild,0,2,L,,41,12,0,3,0,65,29,69.1,41,19,68.3,26,21,55.3,68.3,92.3
2,2023-10-14,Away,Winnipeg Jets,4,6,L,,33,19,1,7,0,35,44,44.3,27,36,42.9,21,29,42.0,43.0,105.1
3,2023-10-16,Away,New Jersey Devils,4,3,W,,30,12,1,4,0,41,49,45.6,32,31,50.8,24,25,49.0,40.6,107.7
4,2023-10-19,Home,Toronto Maple Leafs,3,1,W,,24,10,0,4,1,40,47,46.0,25,26,49.0,28,22,56.0,43.4,113.3
5,2023-10-21,Home,Vancouver Canucks,3,5,L,,36,6,0,2,0,61,37,62.2,46,28,62.2,22,23,48.9,51.7,93.8
6,2023-10-24,Home,San Jose Sharks,3,1,W,,36,6,1,4,0,57,40,58.8,36,32,52.9,16,24,40.0,59.5,107.7
7,2023-10-28,Home,Seattle Kraken,3,2,W,,37,2,1,1,0,64,56,53.3,50,47,51.5,30,34,46.9,54.2,99.5
8,2023-10-30,Away,Boston Bruins,2,3,L,OT,37,2,0,3,0,58,49,54.2,39,31,55.7,27,18,60.0,39.4,94.4
9,2023-11-02,Away,Detroit Red Wings,2,0,W,,27,10,0,5,0,42,34,55.3,30,26,53.6,27,16,62.8,61.6,111.1
10,2023-11-04,Away,Chicago Blackhawks,2,5,L,,40,8,1,3,0,73,39,65.2,48,33,59.3,25,21,54.3,51.0,86.2
11,2023-11-06,Home,Columbus Blue Jackets,5,4,W,OT,46,6,0,1,0,91,54,62.8,60,31,65.9,24,23,51.1,71.6,95.3
12,2023-11-08,Away,Washington Capitals,4,3,W,OT,25,4,0,1,0,42,45,48.3,31,32,49.2,30,17,63.8,51.9,108.7
13,2023-11-10,Home,Carolina Hurricanes,5,2,W,,35,6,0,2,0,54,62,46.6,39,43,47.6,24,35,40.7,58.1,109.5
14,2023-11-12,Home,Chicago Blackhawks,4,3,W,,31,6,2,4,0,58,38,60.4,37,29,56.1,28,19,59.6,44.3,95.8
15,2023-11-14,Away,San Jose Sharks,5,3,W,,31,6,2,3,0,58,39,59.8,33,34,49.3,23,25,47.9,56.4,102.5
16,2023-11-16,Away,Los Angeles Kings,1,2,L,,31,6,0,5,0,43,42,50.6,25,27,48.1,22,23,48.9,47.1,100.2
17,2023-11-17,Away,Anaheim Ducks,2,1,W,,35,6,0,4,0,57,52,52.3,35,42,45.5,29,21,58.0,44.4,107.4
18,2023-11-20,Home,Edmonton Oilers,5,3,W,,33,17,1,4,0,51,52,49.5,39,39,50.0,32,20,61.5,51.5,101.8
19,2023-11-22,Home,Boston Bruins,1,3,L,,28,13,0,2,0,66,43,60.6,44,30,59.5,16,25,39.0,64.9,89.9
20,2023-11-24,Home,Winnipeg Jets,0,3,L,,33,25,0,2,0,59,47,55.7,38,40,48.7,29,19,60.4,40.8,92.9
21,2023-11-27,Away,Ottawa Senators,5,0,W,,37,83,3,7,0,50,31,61.7,34,21,61.8,19,25,43.2,43.3,108.0
22,2023-11-28,Away,Toronto Maple Leafs,1,2,L,SO,39,17,0,3,0,70,38,64.8,46,31,59.7,18,23,43.9,65.1,99.0
23,2023-11-30,Away,Montreal Canadiens,5,1,W,,29,17,1,4,0,46,38,54.8,29,27,51.8,15,27,35.7,62.5,111.9
24,2023-12-02,Home,New York Islanders,3,4,L,,45,4,0,2,0,85,47,64.4,60,31,65.9,35,22,61.4,67.5,94.6
25,2023-12-06,Home,Dallas Stars,5,4,W,,31,10,1,1,0,56,49,53.3,40,40,50.0,22,29,43.1,66.7,108.0
26,2023-12-08,Home,Pittsburgh Penguins,3,1,W,,33,6,0,2,0,67,42,61.5,49,31,61.3,15,14,51.7,56.3,105.5
27,2023-12-10,Away,Columbus Blue Jackets,5,2,W,,35,16,1,2,0,58,41,58.6,38,28,57.6,19,22,46.3,36.0,105.6
28,2023-12-12,Away,Seattle Kraken,0,4,L,,24,2,0,3,0,57,40,58.8,42,30,58.3,26,34,43.3,73.2,80.0
29,2023-12-14,Away,Vancouver Canucks,0,4,L,,36,6,0,3,0,60,36,62.5,45,27,62.5,20,18,52.6,66.7,78.6
30,2023-12-16,Away,Edmonton Oilers,5,1,W,,39,6,1,3,0,54,52,50.9,42,41,50.6,17,33,34.0,57.6,108.8
31,2023-12-18,Away,Calgary Flames,1,3,L,,34,10,1,5,0,55,32,63.2,35,27,56.5,13,26,33.3,53.1,95.0
32,2023-12-21,Home,St. Louis Blues,1,4,L,,38,2,0,1,0,70,34,67.3,54,31,63.5,35,14,71.4,39.4,83.8
33,2023-12-23,Home,Vegas Golden Knights,4,2,W,,42,41,2,6,0,61,31,66.3,41,23,64.1,25,27,48.1,36.1,94.9
34,2023-12-27,Away,Tampa Bay Lightning,3,2,W,,31,12,0,3,1,52,44,54.2,34,35,49.3,22,19,53.7,51.9,99.1
35,2023-12-29,Home,New York Rangers,4,3,W,,33,4,1,3,0,62,52,54.4,39,42,48.1,30,19,61.2,34.5,104.4
36,2023-12-30,Home,Montreal Canadiens,4,1,W,,26,9,2,3,0,52,40,56.5,33,30,52.4,14,24,36.8,58.3,109.5
37,2024-01-02,Away,Arizona Coyotes,4,1,W,,38,23,1,5,0,55,39,58.5,41,31,56.9,31,13,70.5,48.6,111.1
38,2024-01-04,Away,Vegas Golden Knights,4,1,W,,36,16,3,6,0,43,39,52.4,32,30,51.6,29,19,60.4,46.6,99.7
39,2024-01-06,Away,Colorado Avalanche,8,4,W,,29,10,1,5,0,42,27,60.9,27,22,55.1,21,21,50.0,63.0,117.5
40,2024-01-09,Away,St. Louis Blues,5,1,W,,31,12,1,3,0,33,43,43.4,25,33,43.1,20,22,47.6,54.2,114.5
41,2024-01-11,Home,Los Angeles Kings,3,2,W,OT,41,8,1,3,0,68,54,55.7,50,41,54.9,34,29,54.0,58.4,103.0
42,2024-01-13,Home,New Jersey Devils,1,4,L,,36,4,1,2,0,68,40,63.0,48,31,60.8,21,25,45.7,65.5,80.0
43,2024-01-15,Home,Anaheim Ducks,4,5,L,OT,33,16,2,4,1,59,43,57.8,46,34,57.5,31,19,62.0,70.3,85.4
44,2024-01-17,Home,Detroit Red Wings,2,3,L,OT,34,12,0,2,1,65,41,61.3,43,31,58.1,27,21,56.3,53.6,95.3
45,2024-01-19,Home,Minnesota Wild,4,6,L,,35,26,0,4,0,78,24,76.5,48,19,71.6,20,23,46.5,80.8,102.7
46,2024-01-22,Away,Nashville Predators,4,1,W,,38,15,1,4,0,57,39,59.4,39,26,60.0,19,26,42.2,57.6,105.6
47,2024-01-24,Home,Arizona Coyotes,6,2,W,,42,36,1,4,0,41,44,48.2,36,37,49.3,27,25,51.9,50.5,111.4
48,2024-01-26,Away,Pittsburgh Penguins,3,2,W,SO,31,16,2,3,0,52,42,55.3,35,28,55.6,25,28,47.2,48.2,94.7
49,2024-01-27,Away,New York Islanders,3,2,W,OT,37,2,2,4,0,53,46,53.5,35,38,47.9,29,27,51.8,51.8,95.2
50,2024-02-06,Home,Philadelphia Flyers,1,2,L,,21,4,1,2,0,64,54,54.2,41,44,48.2,17,25,40.5,46.9,91.7
51,2024-02-08,Home,Washington Capitals,4,2,W,,41,8,1,5,0,71,42,62.8,47,24,66.2,15,22,40.5,65.0,101.9
52,2024-02-10,Home,Colorado Avalanche,4,0,W,,41,2,2,2,0,84,51,62.2,60,43,58.3,32,19,62.7,58.8,105.6
53,2024-02-14,Away,Pittsburgh Penguins,5,2,W,,23,10,1,2,0,43,47,47.8,28,33,45.9,20,19,51.3,52.6,112.7
54,2024-02-15,Away,Buffalo Sabres,4,0,W,,30,14,1,3,0,49,52,48.5,37,44,45.7,21,26,44.7,50.0,112.0
55,2024-02-17,Away,Tampa Bay Lightning,9,2,W,,30,90,3,4,0,40,53,43.0,29,40,42.0,23,18,56.1,42.9,120.5
56,2024-02-20,Home,Ottawa Senators,3,2,W,OT,34,4,0,3,0,67,42,61.5,41,35,53.9,24,30,44.4,69.2,101.7
57,2024-02-22,Away,Carolina Hurricanes,0,1,L,,45,6,0,3,0,51,54,48.6,41,37,52.6,23,14,62.2,43.3,96.3
58,2024-02-24,Home,Washington Capitals,3,2,W,OT,29,15,1,3,0,52,45,53.6,31,37,45.6,26,19,57.8,53.9,108.3
59,2024-02-27,Home,Buffalo Sabres,3,2,W,,37,12,2,5,0,47,50,48.5,35,40,46.7,36,22,62.1,44.6,99.4
60,2024-02-29,Home,Montreal Canadiens,4,3,W,SO,35,10,1,5,1,58,40,59.2,42,31,57.5,27,19,58.7,56.6,92.9
61,2024-03-02,Away,Detroit Red Wings,4,0,W,,37,30,2,5,0,57,35,62.0,37,25,59.7,20,18,52.6,36.7,108.0
62,2024-03-04,Away,New York Rangers,4,2,W,,30,8,1,3,0,46,39,54.1,34,25,57.6,20,22,47.6,47.8,112.0
63,2024-03-05,Away,New Jersey Devils,5,3,W,,31,6,1,2,0,51,48,51.5,37,32,53.6,31,33,48.4,46.6,104.3
64,2024-03-07,Home,Philadelphia Flyers,1,2,L,,30,4,0,1,0,61,56,52.1,34,39,46.6,28,23,54.9,61.3,95.7
65,2024-03-09,Home,Calgary Flames,5,1,W,,31,12,0,1,1,64,54,54.2,45,45,50.0,27,15,64.3,51.3,114.8
66,2024-03-12,Away,Dallas Stars,4,3,W,,30,10,3,4,0,41,42,49.4,32,33,49.2,22,26,45.8,39.3,95.3
67,2024-03-14,Away,Carolina Hurricanes,0,4,L,,21,18,0,3,0,29,53,35.4,19,43,30.6,17,21,44.7,48.0,84.6
68,2024-03-16,Home,Tampa Bay Lightning,3,5,L,,50,39,1,7,1,49,26,65.3,36,21,63.2,24,25,49.0,85.5,72.8
69,2024-03-21,Home,Nashville Predators,0,3,L,,33,16,0,2,0,53,55,49.1,40,41,49.4,22,27,44.9,51.4,93.9
70,2024-03-23,Away,New York Rangers,3,4,L,SO,30,6,0,2,0,45,53,45.9,34,37,47.9,26,20,56.5,38.4,104.4
71,2024-03-24,Away,Philadelphia Flyers,4,1,W,,15,12,1,2,0,23,61,27.4,17,41,29.3,20,18,52.6,36.0,123.1
72,2024-03-26,Home,Boston Bruins,3,4,L,,21,19,0,3,0,52,28,65.0,33,20,62.3,20,24,45.5,66.7,96.2
73,2024-03-28,Home,New York Islanders,2,3,L,,28,12,0,1,0,58,29,66.7,34,26,56.7,19,20,48.7,65.4,92.5
74,2024-03-30,Home,Detroit Red Wings,3,2,W,SO,38,16,0,1,0,79,31,71.8,54,27,66.7,20,26,43.5,68.6,106.3
75,2024-04-01,Away,Toronto Maple Leafs,4,6,L,,30,6,0,4,0,51,34,60.0,40,30,57.1,24,23,51.1,65.4,86.7
76,2024-04-02,Away,Montreal Canadiens,3,5,L,,40,40,0,5,0,51,50,50.5,37,37,50.0,26,15,63.4,60.8,101.3
77,2024-04-04,Away,Ottawa Senators,6,0,W,,31,14,1,2,0,52,44,54.2,36,32,52.9,18,19,48.6,35.0,118.5
78,2024-04-06,Away,Boston Bruins,2,3,L,OT,30,14,0,3,0,57,35,62.0,34,27,55.7,17,28,37.8,57.4,99.6
79,2024-04-09,Home,Ottawa Senators,2,0,W,,30,16,1,5,0,33,47,41.3,18,36,33.3,16,17,48.5,26.1,107.1
80,2024-04-11,Home,Columbus Blue Jackets,4,0,W,,46,2,0,2,0,72,34,67.9,56,27,67.5,18,24,42.9,51.7,109.3
81,2024-04-13,Home,Buffalo Sabres,3,2,W,OT,42,4,0,3,1,68,30,69.4,46,26,63.9,29,15,65.9,58.1,101.9
82,2024-04-16,Home,Toronto Maple Leafs,5,2,W,,42,14,0,6,0,36,43,45.6,28,32,46.7,27,20,57.4,54.2,116.3
1,2023-10-11,Home,Chicago Blackhawks,3,1,W,,33,13,0,3,0,65,37,63.7,42,30,58.3,27,15,64.3,48.3,105.2
2,2023-10-14,Home,Nashville Predators,3,2,W,,30,14,2,5,0,43,42,50.6,24,35,40.7,14,27,34.1,55.3,95.3
3,2023-10-19,Away,San Jose Sharks,3,1,W,,36,6,0,1,0,50,60,45.5,41,42,49.4,24,31,43.6,41.2,106.2
4,2023-10-21,Away,Los Angeles Kings,4,2,W,,25,17,1,4,0,42,56,42.9,30,38,44.1,27,32,45.8,34.4,110.8
5,2023-10-22,Away,Anaheim Ducks,3,1,W,,26,8,0,5,0,33,50,39.8,26,41,38.8,20,17,54.1,41.7,116.0
6,2023-10-24,Away,Chicago Blackhawks,3,0,W,,43,8,0,4,0,57,40,58.8,47,30,61.0,25,28,47.2,59.9,107.7
7,2023-10-26,Home,Anaheim Ducks,3,4,L,OT,30,12,1,3,0,43,45,48.9,33,36,47.8,23,18,56.1,43.2,92.9
8,2023-10-28,Home,Detroit Red Wings,4,1,W,,31,10,1,4,0,40,51,44.0,31,31,50.0,17,19,47.2,36.4,110.5
9,2023-10-30,Home,Florida Panthers,3,2,W,OT,26,19,0,1,0,49,57,46.2,31,39,44.3,18,27,40.0,60.6,105.6
10,2023-11-02,Home,Toronto Maple Leafs,3,2,W,SO,40,4,0,2,0,68,59,53.5,52,47,52.5,31,16,66.0,52.5,98.6
11,2023-11-04,Away,Detroit Red Wings,4,5,L,,30,32,1,4,0,42,61,40.8,31,42,42.5,22,24,47.8,47.1,101.9
12,2023-11-06,Away,Dallas Stars,3,2,W,,29,6,1,4,0,42,60,41.2,24,48,33.3,26,27,49.1,32.6,104.3
13,2023-11-09,Home,New York Islanders,5,2,W,,35,2,2,3,0,48,55,46.6,34,36,48.6,18,28,39.1,51.6,111.5
14,2023-11-11,Away,Montreal Canadiens,2,3,L,OT,28,8,1,4,0,45,44,50.6,32,31,50.8,15,18,45.5,35.3,95.9
15,2023-11-14,Away,Buffalo Sabres,5,2,W,,32,6,1,3,0,45,54,45.5,33,44,42.9,21,22,48.8,37.9,109.1
16,2023-11-18,Home,Montreal Canadiens,5,2,W,,44,6,2,5,0,63,29,68.5,52,18,74.3,23,26,46.9,69.7,97.3
17,2023-11-20,Away,Tampa Bay Lightning,4,5,L,OT,27,14,0,2,0,43,61,41.3,32,43,42.7,20,26,43.5,29.8,105.6
